year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.075,265.06,66.85,25.38,46.11
2016,03,0.074,265.31,67.63,26.08,46.86
2016,04,0.078,266.92,69.3,22.54,45.92
2016,05,0.081,269.16,66.47,19.71,43.09
2016,06,0.088,271.61,63.45,17.34,40.4
2016,07,0.098,274.07,64.66,13.91,39.28
2016,08,0.103,275.58,62.79,14.71,38.75
2016,09,0.114,276.89,64.44,17.13,40.79
2016,10,0.129,278.66,67.57,18.27,42.92
2016,11,0.147,281.03,70.29,14.59,42.44
2016,12,0.170,283.35,74.99,15.94,45.46
2016,13,0.194,285.62,77.13,16.43,46.78
2016,14,0.223,287.69,78.63,14.05,46.34
2016,15,0.255,289.49,79.13,12.99,46.06
2016,16,0.288,290.45,77.95,19.45,48.7
2016,17,0.317,291.13,75.73,28.83,52.28
2016,18,0.340,291.32,71.16,41.66,56.41
2016,19,0.361,292.01,65.98,47.66,56.82
2016,20,0.382,292.9,61.48,50.58,56.03
2016,21,0.401,293.33,57.27,55.06,56.17
2016,22,0.423,293.9,57.46,54.56,56.01
2016,23,0.444,294.72,61.16,49.62,55.39
2016,24,0.459,295.4,65.81,44.09,54.95
2016,25,0.473,295.98,73.82,37.9,55.86
2016,26,0.482,296.36,79.42,33.79,56.61
2016,27,0.488,296.94,83.21,27.7,55.46
2016,28,0.487,297.72,85.78,18.04,51.91
2016,29,0.479,298.0,85.29,14.54,49.91
2016,30,0.469,298.25,83.65,13.14,48.39
2016,31,0.455,298.56,80.15,10.44,45.29
2016,32,0.438,298.66,74.48,9.0,41.74
2016,33,0.418,298.7,68.11,6.88,37.49
2016,34,0.394,298.58,60.25,5.29,32.77
2016,35,0.367,297.98,54.09,5.42,29.75
2016,36,0.333,296.86,46.71,7.29,27.0
2016,37,0.298,295.22,38.96,10.64,24.8
2016,38,0.266,293.04,32.84,15.38,24.11
2016,39,0.230,289.02,24.09,36.93,30.51
2016,40,0.197,285.25,17.04,58.6,37.82
2016,41,0.168,281.86,12.27,70.84,41.55
2016,42,0.139,277.51,8.55,84.78,46.66
2016,43,0.111,273.39,6.5,87.25,46.88
2016,44,0.088,270.02,5.04,82.89,43.96
2016,45,0.070,266.74,4.02,81.29,42.65
2016,46,0.060,264.23,5.71,78.52,42.12
2016,47,0.053,261.94,9.33,74.6,41.97
2016,48,0.051,261.17,16.65,67.06,41.86
2016,49,0.049,260.38,21.12,61.99,41.56
2016,50,0.048,258.42,25.57,61.44,43.51
2016,51,0.049,256.05,33.11,62.66,47.88
2016,52,0.048,254.17,35.91,65.34,50.62
